Date,AAPL,BA,BAC,CAT,CRM,FB,ICLN,MSFT,NVDA,SKYY,TAN,TSLA
5/3/2016,0.016312082,-0.011406997,-0.028151542,-0.019196381,-0.030893005,-0.009661087,-0.024554465,-0.016536153,-0.012016215,-0.017158764,-0.034150701,-0.039995204
5/4/2016,-0.010455547,-0.012149826,-0.0161463,-0.028156016,-0.012223991,0.005350535,-0.003395895,0.001806331,-0.02303572,-0.005553749,-0.01194459,-0.042918995
5/5/2016,-0.004067368,0.009050608,-0.005677719,-0.019724398,-0.002435729,-0.002119813,-0.013698867,0.001402644,0.006023587,0.002433799,-0.017055857,-0.050829925
5/6/2016,-0.005592632,0.008894034,0.004261197,0.007800304,0.005943587,0.014159531,0.011429058,0.00897058,0.010242101,0.011392966,0.001809006,0.015945569
5/9/2016,0.000754875,-0.008742606,-0.008540779,-0.035802345,0.004970827,-0.002094417,-0.019507386,-0.006370689,-0.001416403,0.001372306,-0.02239064,-0.028360982
5/10/2016,0.006766344,0.019639313,0.021916745,0.024147859,0.017271526,0.010511502,0.01266554,0.018795631,0.019090936,0.016321391,-0.011152686,-0.001101541
5/11/2016,-0.009788739,-0.004725827,-0.007017729,-0.001104032,-0.00171376,-0.00816606,0.013636837,0.000587834,0.002776809,-0.004733094,0.010228016,0.001292969
5/12/2016,-0.023736415,0.010620195,-0.00423428,-0.010129846,0.001318545,0.006338655,-0.014781699,0.00897035,-0.013681311,-0.001356352,-0.021033704,-0.008072275
5/13/2016,0.001990524,-0.017258746,-0.018558624,-0.022995694,0.006305069,-0.003915214,-0.01966486,-0.00838278,0.141581332,-0.001698081,-0.009015566,0.001590737
5/16/2016,0.036446493,0.01517358,0.003595762,0.008950496,0.012233297,-0.009560618,0.01392105,0.014576003,0.029099041,0.011826589,0.014198112,0.003270058
5/17/2016,-0.004162993,-0.011848827,0.005726565,0.004938664,-0.007009387,-0.011185607,-0.004618625,-0.018827879,0.002130975,-0.00978933,-0.008020759,-0.017581316
5/18/2016,0.011380231,-0.011914246,0.047395676,-0.006495369,0.01422691,0.002553219,-0.016336524,0.005921993,0.025223218,0.001694827,0.004254354,0.031313477
5/19/2016,-0.003814177,-0.022466026,-0.010951353,-0.016569723,0.040518799,-0.007165466,-0.011834643,-0.009690692,0.004372399,-0.00305256,-0.012817749,0.018950768
5/20/2016,0.010769517,-0.005401781,-0.000688584,0.006317421,-0.000863607,0.004612247,0.017699667,0.005944124,0.017751926,0.012825198,0.026404215,0.023285167
5/23/2016,0.012627464,0.001490437,-0.003449473,0.007556826,0.008725176,-0.011829362,0.001169075,-0.011723824,0.001577734,0.000670217,0.015239172,-0.018603063
5/24/2016,0.01512931,-0.000627423,0.014408686,0.009753428,0.012402842,0.014807441,0.012768392,0.030705092,0.023984791,0.018263895,0.010939185,0.007785754
